college_slno,college_name,course_slno,course_info
1,AASHRAYAM COLLEGE OF ARTS,1.1,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
1,AASHRAYAM COLLEGE OF ARTS,1.2,Foundations of Social Work
1,AASHRAYAM COLLEGE OF ARTS,1.3,Society and Individual SOC1MN103 - Introduction to Social Psychology [Sociology 2024 syllabus]
1,AASHRAYAM COLLEGE OF ARTS,1.4,Human Physiology ZOO1MN102 - Basics in Cellular Physiology [Zoology 2024 syllabus]
1,AASHRAYAM COLLEGE OF ARTS,1.5,Zoology Group 0
2,AASHRAYAM COLLEGE OF ARTS,2.1,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
2,AASHRAYAM COLLEGE OF ARTS,2.2,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.1,Arabic Group 0 ARA1MN100 - Arabic Short Story [Arabic 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.3,A1: Entrepreneurial Finance COM1MN101 - Fundamentals of Entrepreneurship [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.4,A2: Entrepreneurial Leadership COM1MN102 - Entrepreneurial Marketing [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.5,C1: Financial Studies COM1MN105 - Basics of Financial Markets [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.6,C2: Fintech COM1MN106 - Foundations of Modern Banking [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.7,COM1VN101 - Fundamentals of Travel and Tourism [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.8,F2: Hospitality Management COM1VN102 - Foundations of Hospitality [Commerce 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.9,Artificial Intelligence
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.1,Data Science
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.12,ELE1MN101 - Electronic Fundamentals [Electronics 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.13,ELE1MN102 - Arduino Programming [Electronics 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.14,English at Workspace
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.15,English For Content Creation ENG1MN101 - Fundamentals of Content Creation [English 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.16,Islamic History - Group 0
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.17,Analytics for Financial Data
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.18,General Management BBA1MN101 - Marketing Management [Management Studies 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.2,Linear Algebra MAT1MN105 - Matrix Theory [Mathematics 2024 syllabus]
3,A.C. KUNHIMON HAJI MEMORIAL ICA COLLEGE,3.21,Energy Physics PHY1MN105 - Non-Conventional Energy Sources [Physics 2024 syllabus]
4,"AHALIA SCHOOL OF COMMERCE AND MATHEMATICS, ELIPPARA, PALAKKAD",4.1,A2: Entrepreneurial Leadership COM1MN102 - Entrepreneurial Marketing [Commerce 2024 syllabus]
4,"AHALIA SCHOOL OF COMMERCE AND MATHEMATICS, ELIPPARA, PALAKKAD",4.2,COM1VN101 - Fundamentals of Travel and Tourism [Commerce 2024 syllabus]
4,"AHALIA SCHOOL OF COMMERCE AND MATHEMATICS, ELIPPARA, PALAKKAD",4.3,Film Production
4,"AHALIA SCHOOL OF COMMERCE AND MATHEMATICS, ELIPPARA, PALAKKAD",4.4,Science Journalism
4,"AHALIA SCHOOL OF COMMERCE AND MATHEMATICS, ELIPPARA, PALAKKAD",4.5,Analytics for Financial Data
4,"AHALIA SCHOOL OF COMMERCE AND MATHEMATICS, ELIPPARA, PALAKKAD",4.6,General Management BBA1MN101 - Marketing Management [Management Studies 2024 syllabus]
5,"AL-ABRAR ORIENTAL ARABIC COLLEGE,KODUVALIKUNDU, MANNARKKAD,PALAKKAD-",5.1,Arabic Linguistics
5,"AL-ABRAR ORIENTAL ARABIC COLLEGE,KODUVALIKUNDU, MANNARKKAD,PALAKKAD-",5.2,Industry Skills In Arabic
6,"AL-FURQAN ARABIC COLLEGE,NADAPURAM",6.1,Arabic Linguistics
6,"AL-FURQAN ARABIC COLLEGE,NADAPURAM",6.2,Industry Skills In Arabic
7,AL-HIDAYATH ARABIC COLLEGE,7.1,Arabic Linguistics
